drive_folder_id	title	slug
1Jz5Kb6kVLwCbA0RYZivNAreRgXuSSNl-	00 GENERAL ACOUSTICS	00-general-acoustics
1fWVoY6cVk7-Zlm_l4O_hzOaWsslO9-j7	WEAR MEASUREMENT	wear-measurement
1Gh6BkuhUOLo6RRtSjcG4BKaRi_cH2jhi	TRANSDUCERS AND PIEZOELECTRICITY	transducers-and-piezoelectricity
1csPeQTiMxaZvUo2Vi87Liv2vGtj187my	TEMPERATURE MEASUREMENT PROBES	temperature-measurement-probes
1VQgMpvu29HJLdRR7LtxINUJo28FyUsHe	RANGE MEASUREMENT	range-measurement
1lg_QLF_axKiXs-D_kUVhGMR0ZFaSrZV9	Speed of sound	speed-of-sound
1HWM7-hATWpQIUz8kT4YKsB0zpCW9Zlg2	STANDARDS	standards
1XF0Em0I7RjdBm1v284EjTT-91B2p46Xm	SURFACE ACOUSTIC WAVE	surface-acoustic-wave
1bDMv_Fhxy5eT3oCJKltLkfgP47x7V9gm	SIGNAL PROCESSING	signal-processing
1AnEuvE5ACoLKs8Ixxt9Jufl_sLEjjhBK	PROGRAMMING	programming
1-u9CONmoNA-1v5ZVmMStr0Y5-6SndW5O	METHOD - RESONANCE	method-resonance
1ND96mWUW_EOv7GxAT64jNEi0bvytuFlj	MODELING OF ACOUSTIC WAVES	modeling-of-acoustic-waves
1y09t8ytNn1YD9tlFAI-jwuE2VLa2jHLm	MICROSTRUCTURE	microstructure
18ZTHx29RLqhx9H5TVztSTQUC4LWNzN5k	PERSONAL COMMUNICATIONS	personal-communications
1v-vfzILHDm-KmVdMOY-PeuRpy16PFl6Q	MATHS	maths
1m9Xl3jntwK4A39dEVZZ3R4HZnk9fNtZp	MATLAB AND LABVIEW	matlab-and-labview
1YGdvIG_tZ4Y1dYkHf-v7D9YHS7OIZiHQ	GRINDING	grinding
164D_oQrdodRt8Eo1QHtH_l_cBN3lCdS5	FOCUSING ULTRASONIC WAVES	focusing-ultrasonic-waves
18VRWYuIm585AFi7QEq1cPsAdhjC5ELOT	LASER INDUCED	laser-induced
1wUs0nFv8vaJK8luyCY0kX_6f-N-5qDG-	LUBRICATION FILM	lubrication-film
1R0NkFuO4pMxFLej2wcnY7xYk7VcGCZzc	EFFECT OF TEMPERATURE	effect-of-temperature
1HF5eLhZkhhmex8nKNPu-9E5Txz1k21s6	HONING	honing
1GfVbfEHHCpbkCQbYLd3A7aVtDrrTFaxy	EFFECT OF STRESS	effect-of-stress
1eohl7TtDhyuaG3g-SWSB7X7FnUiX-QXD	EMAT	emat
1yCoqo-3q2d7w1x87WmObGGv56i6sgrAo	DESIGN ENGINEERING	design-engineering
1fm229EK7bwuqsbMt6N4_IGlQ7GvJu0zD	AIRBORNE ULTRASONICS	airborne-ultrasonics
12MZDX7PiGVW-SGLnFUNDH1UOJGn1yEXG	CONTACT STUDY USING US WAVES	contact-study-using-us-waves
1pzjGQCDIUUHRoIo3qoYEALLxFiyDY6yI	DATA SHEETS	data-sheets
1gw5Pr-v9aeH-r3EV6DMGjBkTbCwchKXF	BORE AND LINER	bore-and-liner
1gR0uznkPt_bw1NORHYYwP8Gm-SU1Yeup	ADHESIVE LAYER	adhesive-layer
10Iajzd4kff83eS5jFlHcYjFlqpl7AwAy	000000 READ Papers with Notes	000000-read-papers-with-notes
1Q8gYe9Y_1iQOPDELKEAse_gR1Z1JYAp-	00000 HOW2RESEARCH	00000-how2research
125EoZTF_wZMmhfbGUv-dtBC77KOh__NY	99 Other Relevant papers	99-other-relevant-papers
1QW8gmYzoHK33YeBhpoW_r_LmSnU8hfFK	000 ELECTRONICS INSTRUCTIONS	000-electronics-instructions
1ECF2lkwlf6a7HUUSqMknSavEp8bdhx1x	00 GENERAL HARDWARE DESIGN STUFF	00-general-hardware-design-stuff
1ui7-5j-uE4PJd3M_XroTJZ-gW7PVhuYI	00 GENERAL MECHANICAL AND MATERIALS	00-general-mechanical-and-materials
1g3nmXQuZD5xZp5VWMKqXVIg0yXkRFc9g	00 GENERAL HEAT TRANSFER	00-general-heat-transfer
1HGU0fzmAdp68YR__Dc4wPn6POcvl4Ntv	00 GENERAL ERROR MEASUREMENT	00-general-error-measurement
1cs-6v2voqmUtdL_pN5DgD3dkIuFylw-N	00 GENERAL ELECTRONICS	00-general-electronics
1pCPeNS4mrQymd-rvwGtNmQf0JWSffJG9	00 General Engineering books	00-general-engineering-books
